kod_stacji;typ_problemu;nazwa_stacji;wojewodztwo_nazwa;miejscowosc_nazwa_gios;adres;wgs84_fi_n;wgs84_lambda_e;woj_z_gugik;powiat_z_gugik;gmina_z_gugik;rodzaj_gminy_z_gugik;proponowany_kod_simc;proponowana_nazwa_simc;pewnosc;uzyc_automatycznie;podstawa_korekty;uwagi_do_weryfikacji;mozliwe_miejscowosci_z_pipeline;powod_z_pipeline;uwagi
DsCzar07;unsolved_amb;Czarna Góra;DOLNOŚLĄSKIE;CZARNA GÓRA;;50.255072;16.801641;02;08;06;3;0851420;Międzygórze;niska;TAK;"Czarna Góra nie występuje jako aktualna miejscowość SIMC; przypisano do Międzygórza jako najbliższej/administracyjnie sensownej miejscowości referencyjnej dla lokalizacji Czarna Góra w rejonie Bystrzycy Kłodzkiej.";Wybrano Międzygórze (SIMC 0851420), mimo że nazwa GIOŚ brzmi Czarna Góra. Uzasadnienie: Czarna Góra wygląda na nazwę lokalizacji/góry/ośrodka, a nie aktualną miejscowość SIMC. GUGiK wskazuje rejon gminy Bystrzyca Kłodzka. Źródła opisują trasę i relację Międzygórze–Czarna Góra, a w SIMC aktualną miejscowością referencyjną w tym rejonie jest Międzygórze. To jest decyzja korekcyjna, a nie dokładne dopasowanie nazwy GIOŚ do nazwy SIMC.;;brak_miejscowosc_id_dla_klucza_('02', '08', '06', 'CZARNA GÓRA');"Wybrano miejscowość SIMC: Międzygórze (0851420). Podstawa korekty: Czarna Góra nie występuje jako aktualna miejscowość SIMC; przypisano do Międzygórza jako najbliższej/administracyjnie sensownej miejscowości referencyjnej dla lokalizacji Czarna Góra w rejonie Bystrzycy Kłodzkiej.. Dodatkowe uwagi: Wybrano Międzygórze (SIMC 0851420), mimo że nazwa GIOŚ brzmi Czarna Góra. Uzasadnienie: Czarna Góra wygląda na nazwę lokalizacji/góry/ośrodka, a nie aktualną miejscowość SIMC. GUGiK wskazuje rejon gminy Bystrzyca Kłodzka. Źródła opisują trasę i relację Międzygórze–Czarna Góra, a w SIMC aktualną miejscowością referencyjną w tym rejonie jest Międzygórze. To jest decyzja korekcyjna, a nie dokładne dopasowanie nazwy GIOŚ do nazwy SIMC.."
DsCzerStraza;unsolved_amb;Czerniawa;DOLNOŚLĄSKIE;CZERNIAWA;ul. Strażacka 7;50.912475;15.31219;02;10;02;1;0936463;Czerniawa-Zdrój;wysoka;TAK;nazwa GIOŚ CZERNIAWA pasuje do kandydata SIMC Czerniawa-Zdrój w gminie z GUGiK;różnica: skrócona nazwa bez członu -Zdrój;Czerniawa-Zdrój (0936463) | Góreczno (0936470) | Górna (1064114) | Kamieniec (1004477) | Łęczyna (1004483) | Podgórna (1064120) | Świeradów-Zdrój (0936457) | Ulicko (1004490);brak_miejscowosc_id_dla_klucza_('02', '10', '02', 'CZERNIAWA');Wybrano miejscowość SIMC: Czerniawa-Zdrój (0936463). Podstawa korekty: nazwa GIOŚ CZERNIAWA pasuje do kandydata SIMC Czerniawa-Zdrój w gminie z GUGiK. Dodatkowe uwagi: różnica: skrócona nazwa bez członu -Zdrój.
DsKalinowka;unsolved_amb;Kalinówka;DOLNOŚLĄSKIE;KALINOWKA;;51.5226;16.244147;02;11;03;2;0367373;Rudna;niska;TAK;"Kalinówka nie występuje jako aktualna miejscowość SIMC w gminie wskazanej przez GUGiK; źródła wskazują Kalinówkę jako nieistniejącą/historyczną osadę w gminie Rudna albo lokalną nazwę w tym rejonie; przypisano do Rudnej jako miejscowości referencyjnej.";Wybrano Rudna (SIMC 0367373), mimo że nazwa GIOŚ brzmi Kalinówka. Uzasadnienie: Kalinówka wygląda na nazwę historyczną/lokalną/techniczną, a nie aktualną miejscowość w SIMC. GUGiK wskazuje gminę Rudna, a źródła opisują Kalinówkę jako nieistniejącą osadę w powiecie lubińskim/gminie Rudna oraz jako nazwę obiektu fizjograficznego w PRNG. Ponieważ aktualny SIMC nie zawiera osobnej miejscowości Kalinówka dla tej lokalizacji, przypisano stację do miejscowości referencyjnej Rudna. To jest decyzja korekcyjna wymagająca śladu audytowego w kolumnie uwagi.;Brodowice (0367114) | Brodów (0367120) | Bytków (0367143) | Chełm (0367150) | Chobienia (0367166) | Ciechłowice (0367195) | Gawronki (0367210) | Gawrony (0367203) | Górzyn (0367226) | Gwizdanów (0367232) | Juszowice (0367249) | Kębłów (0367255) | Kliszów (0367261) | Koźlice (0367278) | Miłogoszcz (0367284) | Mleczno (0367290) | Naroczyce (0367309) | Naroczyce-Górki (0367315) | Naroczyce-Kolonia (0999601) | Nieszczyce (0367321) | Olszany (0367338) | Orsk (0367344) | Radomiłów (0367350) | Radoszyce (0367367) | Rozłogi (0367440) | Rudna (0367373) | Rynarcice (0367380) | Stara Rudna (0367396) | Studzionki (0367404) | Toszowice (0367410) | Wądroże (0367427) | Wysokie (0367433);brak_miejscowosc_id_dla_klucza_('02', '11', '03', 'KALINOWKA');"Wybrano miejscowość SIMC: Rudna (0367373). Podstawa korekty: Kalinówka nie występuje jako aktualna miejscowość SIMC w gminie wskazanej przez GUGiK; źródła wskazują Kalinówkę jako nieistniejącą/historyczną osadę w gminie Rudna albo lokalną nazwę w tym rejonie; przypisano do Rudnej jako miejscowości referencyjnej.. Dodatkowe uwagi: Wybrano Rudna (SIMC 0367373), mimo że nazwa GIOŚ brzmi Kalinówka. Uzasadnienie: Kalinówka wygląda na nazwę historyczną/lokalną/techniczną, a nie aktualną miejscowość w SIMC. GUGiK wskazuje gminę Rudna, a źródła opisują Kalinówkę jako nieistniejącą osadę w powiecie lubińskim/gminie Rudna oraz jako nazwę obiektu fizjograficznego w PRNG. Ponieważ aktualny SIMC nie zawiera osobnej miejscowości Kalinówka dla tej lokalizacji, przypisano stację do miejscowości referencyjnej Rudna. To jest decyzja korekcyjna wymagająca śladu audytowego w kolumnie uwagi.."
DsNRudaSlupPM;unsolved_amb;Nowa Ruda - Słupiec (PM10);DOLNOŚLĄSKIE;NOWA RUDA - SŁUPIEC;ul. Wiejska 15;50.550008;16.553645;02;08;04;1;0984344;Słupiec;wysoka;TAK;"nazwa GIOŚ NOWA RUDA - SŁUPIEC; w kandydaturach SIMC jest Słupiec w tej samej jednostce";wybrano bardziej szczegółowy człon lokalizacji: Słupiec;Dolsko (1064019) | Drogosław (0984290) | Góra Świętej Anny (0984309) | Jaworów (1064025) | Kolno (1004371) | Kościelniki (0984321) | Kuźnica (1064031) | Łężno (1064048) | Nagórzany (1004388) | Nowa Ruda (0984278) | Orkany (0984338) | Podgaje (1064054) | Porąbka (1064060) | Rękawczyn (1064077) | Siemiątków (1064083) | Słupiec (0984344) | Straszków (0996650) | Tworzyków (0996643);brak_miejscowosc_id_dla_klucza_('02', '08', '04', 'NOWA RUDA - SŁUPIEC');"Wybrano miejscowość SIMC: Słupiec (0984344). Podstawa korekty: nazwa GIOŚ NOWA RUDA - SŁUPIEC; w kandydaturach SIMC jest Słupiec w tej samej jednostce. Dodatkowe uwagi: wybrano bardziej szczegółowy człon lokalizacji: Słupiec."
DsSnie04;unsolved_amb;Śnieżne Kotły;DOLNOŚLĄSKIE;ŚNIEŻNE KOTŁY;Śnieżne Kotły;50.778373;15.557425;02;06;03;1;0936285;Piechowice;średnia;TAK;"GUGiK wskazuje gminę miejską Piechowice; Śnieżne Kotły nie są miejscowością SIMC";"propozycja administracyjna po gminie; warto ręcznie zaakceptować";Górzyniec (0936291) | Michałowice (0936316) | Pakoszów (0936322) | Piastów (0936339) | Piechowice (0936285);brak_miejscowosc_id_dla_klucza_('02', '06', '03', 'ŚNIEŻNE KOTŁY');"Wybrano miejscowość SIMC: Piechowice (0936285). Podstawa korekty: GUGiK wskazuje gminę miejską Piechowice; Śnieżne Kotły nie są miejscowością SIMC. Dodatkowe uwagi: propozycja administracyjna po gminie; warto ręcznie zaakceptować."
DsTarnowek;unsolved_amb;Tarnówek;DOLNOŚLĄSKIE;TARNOWEK;;51.513299;16.166761;02;16;04;3;0366623;Tarnówek;wysoka;TAK;"dokładna nazwa SIMC po pominięciu rodzaju_gminy; GUGiK różnił się tylko RODZ";korekta rodzaju_gminy;;brak_miejscowosc_id_dla_klucza_('02', '16', '04', 'TARNOWEK');"Wybrano miejscowość SIMC: Tarnówek (0366623). Podstawa korekty: dokładna nazwa SIMC po pominięciu rodzaju_gminy; GUGiK różnił się tylko RODZ. Dodatkowe uwagi: korekta rodzaju_gminy."
DsWitka;unsolved_amb;Witka;DOLNOŚLĄSKIE;WITKA;;51.041136;14.980327;02;25;07;2;0193393;Niedów;niska;TAK;"Witka nie istnieje w SIMC; kandydat na podstawie lokalnego kontekstu zbiornika/rzeki Witka w gminie";wymaga ręcznego sprawdzenia;Białogórze (0193200) | Buszów (0193447) | Gozdanin (0193217) | Gronów (0193223) | Jerzmanki (0193252) | Jędrzychowice (0193269) | Kostrzyna (0193275) | Kozi Lasek (0193230) | Koźlice (0193281) | Koźmin (0193306) | Kunów (0193312) | Lasowice (0193298) | Łagów (0193329) | Łękocin (0193246) | Łomnica (0193335) | Niedów (0193393) | Osiek Łużycki (0193341) | Pokrzywnik (0193358) | Przesieczany (0193364) | Radomierzyce (0193370) | Ręczyn (0193387) | Sławnikowice (0193401) | Spytków (0193424) | Trójca (0193430) | Tylice (0193453) | Żarska Wieś (0193460);brak_miejscowosc_id_dla_klucza_('02', '25', '07', 'WITKA');"Wybrano miejscowość SIMC: Niedów (0193393). Podstawa korekty: Witka nie istnieje w SIMC; kandydat na podstawie lokalnego kontekstu zbiornika/rzeki Witka w gminie. Dodatkowe uwagi: wymaga ręcznego sprawdzenia."
KpNwiesNaftobazy;unsolved_amb;Naftobazy;KUJAWSKO-POMORSKIE;NOWA WIES WIELKA;ul. Przemyslowa;52.970278;18.091389;04;03;05;2;0092775;Nowa Wieś Wielka;wysoka;TAK;dokładna nazwa SIMC w gminie z GUGiK;brak polskich znaków w GIOŚ: WIES -> Wieś;Brzoza (0092640) | Chmielniki (0092657) | Dąbrowa Wielka (0092686) | Dębinka (1028041) | Dobromierz (0092692) | Dziemionna (0092700) | Emilianowo (0092663) | Jakubowo (0092717) | Januszkowo (0092723) | Kobylarnia (0092730) | Kolankowo (0092746) | Leszyce (0092752) | Łażyn (0092769) | Nowa Wieś Wielka (0092775) | Nowa Wioska (0092781) | Nowe Smolno (0092798) | Olimpin (0092806) | Piecki (0092670) | Prądocin (0092829) | Tarkowo Dolne (0092835) | Wałownica (0092812);brak_miejscowosc_id_dla_klucza_('04', '03', '05', 'NOWA WIES WIELKA');Wybrano miejscowość SIMC: Nowa Wieś Wielka (0092775). Podstawa korekty: dokładna nazwa SIMC w gminie z GUGiK. Dodatkowe uwagi: brak polskich znaków w GIOŚ: WIES -> Wieś.
KpPiech;unsolved_amb;Lafarge-Piechcin;KUJAWSKO-POMORSKIE;PIECHCIN;;52.816389;18.032778;04;19;01;3;0079409;Piechcin;średnia;TAK;"dokładna nazwa SIMC po pominięciu rodzaju_gminy; istnieją dwa rekordy Piechcin";"wybrano podstawową miejscowość RM=01; wymaga akceptacji";;brak_miejscowosc_id_dla_klucza_('04', '19', '01', 'PIECHCIN');"Wybrano miejscowość SIMC: Piechcin (0079409). Podstawa korekty: dokładna nazwa SIMC po pominięciu rodzaju_gminy; istnieją dwa rekordy Piechcin. Dodatkowe uwagi: wybrano podstawową miejscowość RM=01; wymaga akceptacji."
KpSwiecGruczno;unsolved_amb;Frantschach - Gruczno;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;;53.364722;18.316667;04;14;09;3;0097784;Gruczno;wysoka;TAK;"nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju";nazwa opisowa/lokalna;;brak_miejscowosc_id_dla_klucza_('04', '14', '09', 'GÓRNE GRUCZNO');"Wybrano miejscowość SIMC: Gruczno (0097784). Podstawa korekty: nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju. Dodatkowe uwagi: nazwa opisowa/lokalna."
KpSwiecGruczno2;unsolved_amb;02 - Gruczno;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;;53.355556;18.318333;04;14;09;3;0097784;Gruczno;wysoka;TAK;"nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju";nazwa opisowa/lokalna;;brak_miejscowosc_id_dla_klucza_('04', '14', '09', 'GÓRNE GRUCZNO');"Wybrano miejscowość SIMC: Gruczno (0097784). Podstawa korekty: nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju. Dodatkowe uwagi: nazwa opisowa/lokalna."
KpSwiecPrzechowo;unsolved_amb;01 Przechowo;KUJAWSKO-POMORSKIE;ŚWIECIE PRZECHOWO;;53.398056;18.416389;04;14;09;3;0929687;Przechowo;wysoka;TAK;"nazwa GIOŚ ŚWIECIE PRZECHOWO; w SIMC kandydat Przechowo w tej samej gminie bez rodzaju";wybrano bardziej szczegółowy człon lokalizacji: Przechowo;;brak_miejscowosc_id_dla_klucza_('04', '14', '09', 'ŚWIECIE PRZECHOWO');"Wybrano miejscowość SIMC: Przechowo (0929687). Podstawa korekty: nazwa GIOŚ ŚWIECIE PRZECHOWO; w SIMC kandydat Przechowo w tej samej gminie bez rodzaju. Dodatkowe uwagi: wybrano bardziej szczegółowy człon lokalizacji: Przechowo."
MpPiwnicWSSERyne1004;unsolved_amb;Piwniczna Rynek 2;MAŁOPOLSKIE;PIWNICZNA;ul. Rynek 2;49.4375;20.708611;12;10;13;3;0961768;Piwniczna-Zdrój;wysoka;TAK;"nazwa GIOŚ PIWNICZNA; w SIMC Piwniczna-Zdrój po pominięciu rodzaju_gminy";skrót nazwy uzdrowiska;;brak_miejscowosc_id_dla_klucza_('12', '10', '13', 'PIWNICZNA');"Wybrano miejscowość SIMC: Piwniczna-Zdrój (0961768). Podstawa korekty: nazwa GIOŚ PIWNICZNA; w SIMC Piwniczna-Zdrój po pominięciu rodzaju_gminy. Dodatkowe uwagi: skrót nazwy uzdrowiska."
MpPiwnZdrojoMOB;unsolved_amb;Piwniczna-Zdrój, ul. Zdrojowa;MAŁOPOLSKIE;PIWNICZNA;ul. Zdrojowa;49.444056;20.719889;12;10;13;3;0961768;Piwniczna-Zdrój;wysoka;TAK;"nazwa GIOŚ PIWNICZNA; stacja ma nazwę Piwniczna-Zdrój, ul. Zdrojowa";skrót nazwy uzdrowiska;;brak_miejscowosc_id_dla_klucza_('12', '10', '13', 'PIWNICZNA');"Wybrano miejscowość SIMC: Piwniczna-Zdrój (0961768). Podstawa korekty: nazwa GIOŚ PIWNICZNA; stacja ma nazwę Piwniczna-Zdrój, ul. Zdrojowa. Dodatkowe uwagi: skrót nazwy uzdrowiska."
MpWysowaParkMOB;unsolved_amb;Wysowa-Zdrój, Park Zdrojowy;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;Wysowa;49.440175;21.178087;12;05;10;2;0468370;Wysowa-Zdrój;wysoka;TAK;"nazwa/adres stacji wskazuje Wysowa-Zdrój; kandydat SIMC w gminie z GUGiK";wybrano człon Wysowa zamiast Uście Gorlickie;Banica (0467896) | Beniówka (0468000) | Beskid (1049215) | Blechnarka (0467904) | Brunary (0467910) | Brunary Niżne (0467927) | Brunary Wyżne (0467933) | Czarna (0467962) | Dujawa (1049221) | Gładyszów (0467991) | Hańczowa (0468051) | Huta Wysowska (0468387) | Izby (0468080) | Jaszkowa (0467956) | Kijów (0468329) | Koło Kościoła (0468016) | Konieczna (0468128) | Kowalów (0468335) | Kunkowa (0468134) | Kwiatoń (0468157) | Leszczyny (0468140) | Ług (0468401) | Markowiec (0468068) | Na Rzekach (0468281) | Niżny Koniec (0467979) | Niżny Koniec (0468022) | Niżny Koniec (0468246) | Nowica (0468163) | Oderne (0468364) | Przysłop (0468170) | Regietów (0468186) | Regietów Niżny (0468192) | Regietów Wyżny (0468200) | Ropki (0468217) | Sidława (1049238) | Skwirtne (0468223) | Smerekowiec (0468230) | Stawiska (0468298) | Stawisza (0468269) | Śnietnica (0468275) | Terpentyny (0468358) | Uście Gorlickie (0468312) | Wierchnia (0468039) | Wierszki (0467940) | Wysowa-Zdrój (0468370) | Wyżny Koniec (0467985) | Wyżny Koniec (0468045) | Wyżny Koniec (0468252) | Za Rzeką (0468074) | Za Wodą (0468306) | Zdynia (0468393);brak_miejscowosc_id_dla_klucza_('12', '05', '10', 'UŚCIE GORLICKIE WYSOWA');"Wybrano miejscowość SIMC: Wysowa-Zdrój (0468370). Podstawa korekty: nazwa/adres stacji wskazuje Wysowa-Zdrój; kandydat SIMC w gminie z GUGiK. Dodatkowe uwagi: wybrano człon Wysowa zamiast Uście Gorlickie."
MpWysowaWSSE0502;unsolved_amb;Uście Gorlickie Wysowa;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;ul. Wysowa;49.424722;21.176389;12;05;10;2;0468370;Wysowa-Zdrój;wysoka;TAK;"nazwa/adres stacji wskazuje Wysowa; kandydat SIMC Wysowa-Zdrój w gminie z GUGiK";wybrano człon Wysowa zamiast Uście Gorlickie;Banica (0467896) | Beniówka (0468000) | Beskid (1049215) | Blechnarka (0467904) | Brunary (0467910) | Brunary Niżne (0467927) | Brunary Wyżne (0467933) | Czarna (0467962) | Dujawa (1049221) | Gładyszów (0467991) | Hańczowa (0468051) | Huta Wysowska (0468387) | Izby (0468080) | Jaszkowa (0467956) | Kijów (0468329) | Koło Kościoła (0468016) | Konieczna (0468128) | Kowalów (0468335) | Kunkowa (0468134) | Kwiatoń (0468157) | Leszczyny (0468140) | Ług (0468401) | Markowiec (0468068) | Na Rzekach (0468281) | Niżny Koniec (0467979) | Niżny Koniec (0468022) | Niżny Koniec (0468246) | Nowica (0468163) | Oderne (0468364) | Przysłop (0468170) | Regietów (0468186) | Regietów Niżny (0468192) | Regietów Wyżny (0468200) | Ropki (0468217) | Sidława (1049238) | Skwirtne (0468223) | Smerekowiec (0468230) | Stawiska (0468298) | Stawisza (0468269) | Śnietnica (0468275) | Terpentyny (0468358) | Uście Gorlickie (0468312) | Wierchnia (0468039) | Wierszki (0467940) | Wysowa-Zdrój (0468370) | Wyżny Koniec (0467985) | Wyżny Koniec (0468045) | Wyżny Koniec (0468252) | Za Rzeką (0468074) | Za Wodą (0468306) | Zdynia (0468393);brak_miejscowosc_id_dla_klucza_('12', '05', '10', 'UŚCIE GORLICKIE WYSOWA');"Wybrano miejscowość SIMC: Wysowa-Zdrój (0468370). Podstawa korekty: nazwa/adres stacji wskazuje Wysowa; kandydat SIMC Wysowa-Zdrój w gminie z GUGiK. Dodatkowe uwagi: wybrano człon Wysowa zamiast Uście Gorlickie."
