kod_stacji;typ_problemu;nazwa_stacji;wojewodztwo_nazwa;miejscowosc_nazwa_gios;adres;wgs84_fi_n;wgs84_lambda_e;woj_z_gugik;powiat_z_gugik;gmina_z_gugik;rodzaj_gminy_z_gugik;proponowany_kod_simc;proponowana_nazwa_simc;pewnosc;uzyc_automatycznie;podstawa_korekty;uwagi_do_weryfikacji;mozliwe_miejscowosci_z_pipeline;powod_z_pipeline;uwagi
MzPlockPKN1;unsolved_amb;Płock-Trzepowo;MAZOWIECKIE;TRZEPOWO;ul. Trzepowo 56;52.5888;19.724289;14;19;13;2;0576303;Nowe Trzepowo;wysoka;TAK;"nazwa GIOŚ TRZEPOWO; w gminie z GUGiK jest Nowe Trzepowo";brak dokładnego Trzepowo w SIMC dla tej gminy;Antonówka (0576094) | Biała (0576036) | Biała-Parcela (0576042) | Bronowo-Zalesie (0576071) | Bronowo Kmiece (0576065) | Brwilno (0576088) | Dziarnowo (0576125) | Kamionki (0576131) | Kobierniki (0576148) | Kowalewko (0576190) | Kruszczewo (0576208) | Ludwikowo (0576214) | Mańkowo (0576220) | Maszewo (0576237) | Maszewo Duże (0576243) | Miłodróż (0576250) | Nowa Biała (0576266) | Nowe Bronowo (0576272) | Nowe Draganie (0576289) | Nowe Proboszczewice (0576295) | Nowe Trzepowo (0576303) | Ogorzelice (0576326) | Pieńki (0576349) | Poświętne (0576059) | Srebrna (0576332) | Stara Biała (0576355) | Stare Draganie (0576119) | Stare Proboszczewice (0576361) | Trzebuń (0576378) | Ulaszewo (0576384) | Włoczewo (0576390) | Wyszyna (0576409);brak_miejscowosc_id_dla_klucza_('14', '19', '13', 'TRZEPOWO');"Wybrano miejscowość SIMC: Nowe Trzepowo (0576303). Podstawa korekty: nazwa GIOŚ TRZEPOWO; w gminie z GUGiK jest Nowe Trzepowo. Dodatkowe uwagi: brak dokładnego Trzepowo w SIMC dla tej gminy."
OpGora12728;unsolved_amb;Góra Św. Anny lokalna 12728;OPOLSKIE;GÓRA ŚW. ANNY;ul. Leśnicka;50.451667;18.163333;16;11;04;3;0497970;Góra Świętej Anny;wysoka;TAK;"nazwa GIOŚ GÓRA ŚW. ANNY; kandydat SIMC Góra Świętej Anny po pominięciu rodzaju_gminy";skrót Św. -> Świętej;;brak_miejscowosc_id_dla_klucza_('16', '11', '04', 'GÓRA ŚW. ANNY');"Wybrano miejscowość SIMC: Góra Świętej Anny (0497970). Podstawa korekty: nazwa GIOŚ GÓRA ŚW. ANNY; kandydat SIMC Góra Świętej Anny po pominięciu rodzaju_gminy. Dodatkowe uwagi: skrót Św. -> Świętej."
PdBorsukowiz;unsolved_amb;Borsukowizna, Szkółka Leśna;PODLASKIE;BORSUKOWIZNA;;53.215492;23.642153;20;11;10;2;0032796;Borsukowizna;niska;TAK;dokładna Borsukowizna istnieje w powiecie sokólskim, ale w innej gminie niż GUGiK;"konflikt GIOŚ/GUGiK; wymaga ręcznego sprawdzenia";Aleksandrówka (0042197) | Babiki (0041890) | Biały Ług (0041915) | Boratyńszczyzna (0041921) | Brzozowy Hrud (0042406) | Chmielowszczyzna (0041938) | Chmielowszczyzna (0041944) | Dziewiczy Ług (0042240) | Grodzisko (0042122) | Grzybowszczyzna (0041967) | Hały-Ług (0042257) | Harkawicze (0041973) | Horczaki (0994414) | Iwniki (1012838) | Jeziorek (0042004) | Klin (0042079) | Klin (0042352) | Knyszewicze (0042027) | Knyszewicze Małe (0041950) | Kozłowy Ług (0042033) | Lipowy Most (0042040) | Litwinowy Ług (1012844) | Łaźnisko (0042056) | Markowy Wygon (0042211) | Minkowce (0042091) | Miszkieniki Małe (0042435) | Miszkieniki Wielkie (0042100) | Nowe Trzciano (0042116) | Nowinka (0042139) | Nowosiółki (0042398) | Nowy Ostrów (0042145) | Ostrów Północny (0042168) | Ostrówek (0042174) | Pierekał (1012850) | Pierożki (0042180) | Pisarzowce (0042323) | Poczopek (0042205) | Podłaźnisko (0042062) | Podświdziałówka (0042151) | Rowek (0042010) | Samogród (0042292) | Słoja (0042228) | Słójka (0042234) | Słójka-Borowszczyzna (0042263) | Sosnowik (0042270) | Stare Trzciano (0042369) | Suchy Hrud (0042085) | Suchynicze (0042286) | Sukowicze (0042300) | Szczęsnowicze (0042317) | Szudziałowo (0042330) | Talkowszczyzna (0042346) | Tołkacze (1012867) | Usnarz Górny (0042375) | Wierzchlesie (0042381) | Wojnowce (0042412) | Zubowszczyzna (0041909) | Zubrzyca Mała (0042429) | Zubrzyca Wielka (0042441);brak_miejscowosc_id_dla_klucza_('20', '11', '10', 'BORSUKOWIZNA');"Wybrano miejscowość SIMC: Borsukowizna (0032796). Podstawa korekty: dokładna Borsukowizna istnieje w powiecie sokólskim, ale w innej gminie niż GUGiK. Dodatkowe uwagi: konflikt GIOŚ/GUGiK; wymaga ręcznego sprawdzenia."
PkCzarnaWSSENafGaz;unsolved_amb;Czarna-OśrNaftaGaz-WSSE;PODKARPACKIE;CZARNA;ul. Ośrodek Wyp-Szkol Nafta-Gaz;49.308889;22.663903;18;01;03;2;0348000;Czarna Górna;niska;TAK;"GIOŚ podaje CZARNA; w gminie z GUGiK są Czarna Górna i Czarna Dolna";"wybrano roboczo Czarna Górna; wymaga sprawdzenia adresu ośrodka";Bystre (0347962) | Chrewt (0347979) | Czarna Dolna (0347991) | Czarna Górna (0348000) | Czarna Kopalnia (0996229) | Dolny Koniec (0348045) | Górny Koniec (0348051) | Lipie (0348016) | Michniowiec (0348022) | Olchowiec (0347985) | Ostre (0348068) | Paniszczów (0996206) | Polana (0348039) | Rabe (0348074) | Rosochate (0996235) | Rosolin (0996241) | Serednie Małe (0990497) | Sokołowa Wola (0996212) | Tworylne (0996258) | Wydrne (0990505) | Żłobek (0348080);brak_miejscowosc_id_dla_klucza_('18', '01', '03', 'CZARNA');"Wybrano miejscowość SIMC: Czarna Górna (0348000). Podstawa korekty: GIOŚ podaje CZARNA; w gminie z GUGiK są Czarna Górna i Czarna Dolna. Dodatkowe uwagi: wybrano roboczo Czarna Górna; wymaga sprawdzenia adresu ośrodka."
SKNowinyCemen;unsolved_amb;Nowiny;ŚWIĘTOKRZYSKIE;SITKÓWKA NOWINY;ul. Przemysłowa 32;50.803894;20.543278;26;04;17;2;0267453;Nowiny;wysoka;TAK;"nazwa stacji Nowiny; GIOŚ SITKÓWKA NOWINY; kandydat SIMC Nowiny w gminie z GUGiK";wybrano bardziej aktualną/konkretną nazwę Nowiny;Bolechowice (0234057) | Kowala (0267424) | Kowala Mała (0267430) | Łany (0267482) | Nowiny (0267453) | Odpadki (0234063) | Podgatcze (1017190) | Podmoście (0234070) | Sitkówka (0267460) | Słowik (1066805) | Sołtysy (0267499) | Szewce (0234494) | Trzcianki (0267447) | Trzcianki (0267507) | Trzcianki (1017209) | Wola Murowana (0267476) | Zagórze (0267513) | Zagrody (0267520) | Zawada (0234502) | Zgórsko (0267559);brak_miejscowosc_id_dla_klucza_('26', '04', '17', 'SITKÓWKA NOWINY');"Wybrano miejscowość SIMC: Nowiny (0267453). Podstawa korekty: nazwa stacji Nowiny; GIOŚ SITKÓWKA NOWINY; kandydat SIMC Nowiny w gminie z GUGiK. Dodatkowe uwagi: wybrano bardziej aktualną/konkretną nazwę Nowiny."
SkSolecZdroj;unsolved_amb;Solec-Zdrój;ŚWIĘTOKRZYSKIE;SOLEC ZDRÓJ;;50.358659;20.886184;26;01;05;2;0271035;Solec-Zdrój;wysoka;TAK;dokładna nazwa SIMC po normalizacji myślnika;;Babiniec (0271182) | Błonie (0271070) | Błonie (0271259) | Cegielnia (1016300) | Chałupki (0270975) | Chinków (0270780) | Czarny Gaj (0270900) | Dąbrówka (0271199) | Golgota (0270863) | Górka (0271390) | Jagodnica (0271087) | Janów (1016316) | Kaczmarówka (0270917) | Kamienna Góra (0271093) | Karna Góra (0271265) | Kików (0270797) | Klucz (0271207) | Kolonia Zagajów (0271360) | Konstantynów-Kolonia (0271058) | Kopanina (0271213) | Kosinów (0270805) | Las Strażnicki (1016322) | Lasek (0271271) | Lisianki (0271288) | Ludwinów (0270857) | Magierów (0270886) | Marek (0270981) | Marianów (0271495) | Maternów (0270998) | Młynek (0271377) | Nowe Świniary (0271147) | Nowe Włosnowice (0271294) | Piachy (0271503) | Piasek Mały (0270892) | Piaski (0271420) | Piestrzec (0270969) | Piestrzec Kapitulny (0271006) | Piestrzec Poduchowny (0271012) | Pod Lasem (0270923) | Podedwór (0271101) | Podkopce (0270930) | Podymacz (0271354) | Półanki (0270811) | Próchnica (0271302) | Przedewsie (0271118) | Przymiarek (0271319) | Sieradzka (0271510) | Solec-Zdrój (0271035) | Stara Wieś (0271124) | Stawek (0271220) | Stawisko (0270828) | Stawisko (0271526) | Strażnik (0271041) | Studnisko (0271437) | Sudołówka (0270946) | Sułkowice (0271064) | Sznury (0271472) | Świniary (0271130) | Świniary Kościelne (0271153) | Świniary Zielenieckie (0271160) | Toczyska (0271236) | W Polu (0270870) | Wełnin (0271176) | Wikliny (1016339) | Włosnowice (0271242) | Włosnowice Trzecie (1016345) | Woźnica Górna (0271029) | Zagaje Kikowskie (0271325) | Zagajów (0271331) | Zagórzany (0271383) | Zagrody (0270834) | Zakamieńcze-Zastawie (0270840) | Zaklicze (0271408) | Zakupnicy (0270952) | Zawodzie (0271443) | Zborów (0271414) | Zielonki (0271466) | Zwierzyniec (0271450) | Żuków (0271489);brak_miejscowosc_id_dla_klucza_('26', '01', '05', 'SOLEC ZDRÓJ');
ZpStarStargardWSSE;unsolved_amb;Stargard Szczeciński;ZACHODNIOPOMORSKIE;STARGARD SZCZECIŃSKI;ul. Czarnieckiego 34;53.337415;15.039209;32;14;01;1;0979596;Stargard;wysoka;TAK;"GIOŚ używa historycznej nazwy Stargard Szczeciński; aktualny SIMC: Stargard";zmiana nazwy historycznej;Giżynek (0979604) | Kluczewo (0979610) | Mokrzyca (0979627) | Mroczeń (0979633) | Osetno (0979640) | Przedmieście Barnimowskie (0979656) | Przedmieście Poznańskie (0979662) | Przedmieście Szczecińskie (0979679) | Pszczelnik (0979685) | Stargard (0979596) | Zarzecze (0979691) | Źródelnia (0979700);brak_miejscowosc_id_dla_klucza_('32', '14', '01', 'STARGARD SZCZECIŃSKI');"Wybrano miejscowość SIMC: Stargard (0979596). Podstawa korekty: GIOŚ używa historycznej nazwy Stargard Szczeciński; aktualny SIMC: Stargard. Dodatkowe uwagi: zmiana nazwy historycznej."
LdBrzeziWSSEMReforma;unsolved_geo;Brzeziny-Reformacka;ŁÓDZKIE;BRZEZINY;ul. Reformacka 3;-999.0;-999.0;;;;;0977025;Brzeziny;wysoka;TAK;"brak współrzędnych; nazwa/adres wskazuje miasto Brzeziny, ul. Reformacka";wybrano Brzeziny, gmina miejska, powiat brzeziński;Brzeziny (0977025) | gmina: Brzeziny | typ: gmina miejska | powiat: brzeziński | woj: ŁÓDZKIE | Brzeziny (0580138) | gmina: Żychlin | typ: obszar wiejski | powiat: kutnowski | woj: ŁÓDZKIE | Brzeziny (0536404) | gmina: Białaczów | typ: obszar wiejski | powiat: opoczyński | woj: ŁÓDZKIE | Brzeziny (0298531) | gmina: Uniejów | typ: obszar wiejski | powiat: poddębicki | woj: ŁÓDZKIE | Brzeziny (0148205) | gmina: Żytno | typ: gmina wiejska | powiat: radomszczański | woj: ŁÓDZKIE | Brzeziny (0976072) | gmina: Sieradz | typ: gmina miejska | powiat: sieradzki | woj: ŁÓDZKIE | Brzeziny (0551390) | gmina: Rzeczyca | typ: gmina wiejska | powiat: tomaszowski | woj: ŁÓDZKIE | Brzeziny (0707484) | gmina: Mokrsko | typ: gmina wiejska | powiat: wieluński | woj: ŁÓDZKIE | Brzeziny (0714053) | gmina: Skomlin | typ: gmina wiejska | powiat: wieluński | woj: ŁÓDZKIE | Brzeziny (0197698) | gmina: Galewice | typ: gmina wiejska | powiat: wieruszowski | woj: ŁÓDZKIE | Brzeziny (0197681) | gmina: Galewice | typ: gmina wiejska | powiat: wieruszowski | woj: ŁÓDZKIE;brak_poprawnych_wspolrzednych;"Wybrano miejscowość SIMC: Brzeziny (0977025). Podstawa korekty: brak współrzędnych; nazwa/adres wskazuje miasto Brzeziny, ul. Reformacka. Dodatkowe uwagi: wybrano Brzeziny, gmina miejska, powiat brzeziński."
MpKrynicWSSENowo1002;unsolved_geo;Krynica Nowotarskiego RWM;MAŁOPOLSKIE;KRYNICA;ul. Nowotarskiego RWM;-999.0;-999.0;;;;;0960390;Krynica-Zdrój;wysoka;TAK;"brak współrzędnych; ul. Nowotarskiego wskazuje Krynicę-Zdrój";GIOŚ używa skrótu Krynica;Krynica-Wieś (0960444) | gmina: Krynica-Zdrój | typ: miasto | powiat: nowosądecki | woj: MAŁOPOLSKIE | Krynica-Zdrój (0960390) | gmina: Krynica-Zdrój | typ: miasto | powiat: nowosądecki | woj: MAŁOPOLSKIE;brak_poprawnych_wspolrzednych;"Wybrano miejscowość SIMC: Krynica-Zdrój (0960390). Podstawa korekty: brak współrzędnych; ul. Nowotarskiego wskazuje Krynicę-Zdrój. Dodatkowe uwagi: GIOŚ używa skrótu Krynica."
MpMyslenWIOSKazi0901;unsolved_geo;Myslenice Kazimierza Wielkiego;MAŁOPOLSKIE;MYŚLENICE;ul. Kazimierza Wielkiego 199;-999.0;-999.0;;;;;0951617;Myślenice;wysoka;TAK;"brak współrzędnych; adres ul. Kazimierza Wielkiego wskazuje miasto Myślenice";odrzucono wieś Myślenice w pow. brzeskim;Myślenice (0831959) | gmina: Szczurowa | typ: gmina wiejska | powiat: brzeski | woj: MAŁOPOLSKIE | Myślenice (0951617) | gmina: Myślenice | typ: miasto | powiat: myślenicki | woj: MAŁOPOLSKIE;brak_poprawnych_wspolrzednych;"Wybrano miejscowość SIMC: Myślenice (0951617). Podstawa korekty: brak współrzędnych; adres ul. Kazimierza Wielkiego wskazuje miasto Myślenice. Dodatkowe uwagi: odrzucono wieś Myślenice w pow. brzeskim."
SlKuzniGliw_wiejs;unsolved_geo;Kuźnia Nieb_gliwic-WIOŚ;ŚLĄSKIE;KUŹNIA NIEBOROWICKA;ul. Wiejska 12;-999.0;-999.0;;;;;0219000;Kuźnia Nieborowska;średnia;TAK;"brak współrzędnych; nazwa GIOŚ KUŹNIA NIEBOROWICKA bardzo podobna do SIMC Kuźnia Nieborowska";"literówka/stara nazwa możliwa; wymaga akceptacji";;brak_poprawnych_wspolrzednych;"Wybrano miejscowość SIMC: Kuźnia Nieborowska (0219000). Podstawa korekty: brak współrzędnych; nazwa GIOŚ KUŹNIA NIEBOROWICKA bardzo podobna do SIMC Kuźnia Nieborowska. Dodatkowe uwagi: literówka/stara nazwa możliwa; wymaga akceptacji."
WpKonin31017;unsolved_geo;Konin, ul. Wieniawskiego 8;WIELKOPOLSKIE;KONIN;ul. Wieniawskiego 8;-999.0;-999.0;;;;;0948667;Konin;wysoka;TAK;"brak współrzędnych; adres miejski w Koninie";;Konin (0948667) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Osada-Konin (0948905) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Konin (0588163) | gmina: Lwówek | typ: obszar wiejski | powiat: nowotomyski | woj: WIELKOPOLSKIE | Koninko (0586589) | gmina: Kórnik | typ: obszar wiejski | powiat: poznański | woj: WIELKOPOLSKIE | Konin (0592673) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Konin-Huby (1066691) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0592680) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0531832) | gmina: Wągrowiec | typ: gmina wiejska | powiat: wągrowiecki | woj: WIELKOPOLSKIE;brak_poprawnych_wspolrzednych;
WpKonin31018;unsolved_geo;Konin, ul. Leśna 23;WIELKOPOLSKIE;KONIN;ul. Leśna 21;-999.0;-999.0;;;;;0948667;Konin;wysoka;TAK;"brak współrzędnych; adres miejski w Koninie";;Konin (0948667) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Osada-Konin (0948905) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Konin (0588163) | gmina: Lwówek | typ: obszar wiejski | powiat: nowotomyski | woj: WIELKOPOLSKIE | Koninko (0586589) | gmina: Kórnik | typ: obszar wiejski | powiat: poznański | woj: WIELKOPOLSKIE | Konin (0592673) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Konin-Huby (1066691) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0592680) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0531832) | gmina: Wągrowiec | typ: gmina wiejska | powiat: wągrowiecki | woj: WIELKOPOLSKIE;brak_poprawnych_wspolrzednych;
WpKoninStaszica;unsolved_geo;Konin, ul. Staszica 16;WIELKOPOLSKIE;KONIN;ul. Staszica 16;-999.0;-999.0;;;;;0948667;Konin;wysoka;TAK;"brak współrzędnych; adres miejski w Koninie";;Konin (0948667) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Osada-Konin (0948905) | gmina: Konin | typ: gmina miejska | powiat: Konin | woj: WIELKOPOLSKIE | Konin (0588163) | gmina: Lwówek | typ: obszar wiejski | powiat: nowotomyski | woj: WIELKOPOLSKIE | Koninko (0586589) | gmina: Kórnik | typ: obszar wiejski | powiat: poznański | woj: WIELKOPOLSKIE | Konin (0592673) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Konin-Huby (1066691) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0592680) | gmina: Pniewy | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Koninek (0531832) | gmina: Wągrowiec | typ: gmina wiejska | powiat: wągrowiecki | woj: WIELKOPOLSKIE;brak_poprawnych_wspolrzednych;
WpPila57192;unsolved_geo;Piła, ul. Okrzei 8;WIELKOPOLSKIE;PIŁA;ul. Okrzei 8;-999.0;-999.0;;;;;0966530;Piła;wysoka;TAK;"brak współrzędnych; adres miejski w Pile, ul. Okrzei";;Piła (0199786) | gmina: Kępno | typ: obszar wiejski | powiat: kępiński | woj: WIELKOPOLSKIE | Piła-Młyn (0210246) | gmina: Trzcinica | typ: gmina wiejska | powiat: kępiński | woj: WIELKOPOLSKIE | Piła (0208924) | gmina: Sośnie | typ: gmina wiejska | powiat: ostrowski | woj: WIELKOPOLSKIE | Piła (0966530) | gmina: Piła | typ: gmina miejska | powiat: pilski | woj: WIELKOPOLSKIE | Piła (0195647) | gmina: Chocz | typ: obszar wiejski | powiat: pleszewski | woj: WIELKOPOLSKIE | Piła (0533021) | gmina: Wronki | typ: obszar wiejski | powiat: szamotulski | woj: WIELKOPOLSKIE | Piła-Młyn (0971471) | gmina: Skoki | typ: miasto | powiat: wągrowiecki | woj: WIELKOPOLSKIE;brak_poprawnych_wspolrzednych;
WpTurek31046;unsolved_geo;Turek, ul. Uniejowska 1a;WIELKOPOLSKIE;TUREK;ul. Uniejowska 1a;-999.0;-999.0;;;;;0949336;Turek;wysoka;TAK;"brak współrzędnych; adres miejski w Turku, ul. Uniejowska";;Turek (1008720) | gmina: Środa Wielkopolska | typ: obszar wiejski | powiat: średzki | woj: WIELKOPOLSKIE | Turek (0949336) | gmina: Turek | typ: gmina miejska | powiat: turecki | woj: WIELKOPOLSKIE;brak_poprawnych_wspolrzednych;
