source_index;wojewodztwo_miejscowosc;miejscowosc_id;kod_stacji;kod_miedzynarodowy;nazwa_stacji;stary_kod_stacji;data_uruchomienia;data_zamkniecia;typ_stacji;typ_obszaru;rodzaj_stacji;adres;uwagi;wgs84_fi_n;wgs84_lambda_e;wojewodztwo_nazwa;miejscowosc_nazwa;problem_type;problem_reason;woj;powiat;gmina;rodzaj_gminy;mozliwe_miejscowosci;ambiguous_miejscowosc_ids
9;('DOLNOŚLĄSKIE', 'CZARNA GÓRA');;DsCzar07;PL0186A;Czarna Góra;;1996-12-01;2008-09-30;tło;pozamiejski;kontenerowa stacjonarna;;;50.255072;16.801641;DOLNOŚLĄSKIE;CZARNA GÓRA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '08', '06', '3', 'CZARNA GÓRA');02;08;06;3;;
10;('DOLNOŚLĄSKIE', 'CZERNIAWA');;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;1996-07-01;;tło;pozamiejski;kontenerowa stacjonarna;ul. Strażacka 7;;50.912475;15.31219;DOLNOŚLĄSKIE;CZERNIAWA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '10', '02', '1', 'CZERNIAWA');02;10;02;1;Czerniawa-Zdrój (0936463) | Góreczno (0936470) | Górna (1064114) | Kamieniec (1004477) | Łęczyna (1004483) | Podgórna (1064120) | Świeradów-Zdrój (0936457) | Ulicko (1004490);
40;('DOLNOŚLĄSKIE', 'KALINOWKA');;DsKalinowka;PL0261A;Kalinówka;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.5226;16.244147;DOLNOŚLĄSKIE;KALINOWKA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '11', '03', '2', 'KALINOWKA');02;11;03;2;Brodowice (0367114) | Brodów (0367120) | Bytków (0367143) | Chełm (0367150) | Chobienia (0367166) | Ciechłowice (0367195) | Gawronki (0367210) | Gawrony (0367203) | Górzyn (0367226) | Gwizdanów (0367232) | Juszowice (0367249) | Kębłów (0367255) | Kliszów (0367261) | Koźlice (0367278) | Miłogoszcz (0367284) | Mleczno (0367290) | Naroczyce (0367309) | Naroczyce-Górki (0367315) | Naroczyce-Kolonia (0999601) | Nieszczyce (0367321) | Olszany (0367338) | Orsk (0367344) | Radomiłów (0367350) | Radoszyce (0367367) | Rozłogi (0367440) | Rudna (0367373) | Rynarcice (0367380) | Stara Rudna (0367396) | Studzionki (0367404) | Toszowice (0367410) | Wądroże (0367427) | Wysokie (0367433);
83;('DOLNOŚLĄSKIE', 'NOWA RUDA - SŁUPIEC');;DsNRudaSlupPM;;Nowa Ruda - Słupiec (PM10);;2005-03-01;2006-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wiejska 15;;50.550008;16.553645;DOLNOŚLĄSKIE;NOWA RUDA - SŁUPIEC;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '08', '04', '1', 'NOWA RUDA - SŁUPIEC');02;08;04;1;Dolsko (1064019) | Drogosław (0984290) | Góra Świętej Anny (0984309) | Jaworów (1064025) | Kolno (1004371) | Kościelniki (0984321) | Kuźnica (1064031) | Łężno (1064048) | Nagórzany (1004388) | Nowa Ruda (0984278) | Orkany (0984338) | Podgaje (1064054) | Porąbka (1064060) | Rękawczyn (1064077) | Siemiątków (1064083) | Słupiec (0984344) | Straszków (0996650) | Tworzyków (0996643);
102;('DOLNOŚLĄSKIE', 'ŚNIEŻNE KOTŁY');;DsSnie04;PL0058A;Śnieżne Kotły;;1996-07-01;2010-12-31;tło;pozamiejski;kontenerowa stacjonarna;Śnieżne Kotły;;50.778373;15.557425;DOLNOŚLĄSKIE;ŚNIEŻNE KOTŁY;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '06', '03', '1', 'ŚNIEŻNE KOTŁY');02;06;03;1;Górzyniec (0936291) | Michałowice (0936316) | Pakoszów (0936322) | Piastów (0936339) | Piechowice (0936285);
123;('DOLNOŚLĄSKIE', 'TARNOWEK');;DsTarnowek;PL0268A;Tarnówek;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.513299;16.166761;DOLNOŚLĄSKIE;TARNOWEK;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '16', '04', '3', 'TARNOWEK');02;16;04;3;;
135;('DOLNOŚLĄSKIE', 'WITKA');;DsWitka;PL0319A;Witka;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.041136;14.980327;DOLNOŚLĄSKIE;WITKA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('02', '25', '07', '2', 'WITKA');02;25;07;2;Białogórze (0193200) | Buszów (0193447) | Gozdanin (0193217) | Gronów (0193223) | Jerzmanki (0193252) | Jędrzychowice (0193269) | Kostrzyna (0193275) | Kozi Lasek (0193230) | Koźlice (0193281) | Koźmin (0193306) | Kunów (0193312) | Lasowice (0193298) | Łagów (0193329) | Łękocin (0193246) | Łomnica (0193335) | Niedów (0193393) | Osiek Łużycki (0193341) | Pokrzywnik (0193358) | Przesieczany (0193364) | Radomierzyce (0193370) | Ręczyn (0193387) | Sławnikowice (0193401) | Spytków (0193424) | Trójca (0193430) | Tylice (0193453) | Żarska Wieś (0193460);
218;('KUJAWSKO-POMORSKIE', 'NOWA WIES WIELKA');;KpNwiesNaftobazy;PL0333A;Naftobazy;;1990-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;ul. Przemyslowa;;52.970278;18.091389;KUJAWSKO-POMORSKIE;NOWA WIES WIELKA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('04', '03', '05', '2', 'NOWA WIES WIELKA');04;03;05;2;Brzoza (0092640) | Chmielniki (0092657) | Dąbrowa Wielka (0092686) | Dębinka (1028041) | Dobromierz (0092692) | Dziemionna (0092700) | Emilianowo (0092663) | Jakubowo (0092717) | Januszkowo (0092723) | Kobylarnia (0092730) | Kolankowo (0092746) | Leszyce (0092752) | Łażyn (0092769) | Nowa Wieś Wielka (0092775) | Nowa Wioska (0092781) | Nowe Smolno (0092798) | Olimpin (0092806) | Piecki (0092670) | Prądocin (0092829) | Tarkowo Dolne (0092835) | Wałownica (0092812);
219;('KUJAWSKO-POMORSKIE', 'PIECHCIN');;KpPiech;PL0334A;Lafarge-Piechcin;;1998-06-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;52.816389;18.032778;KUJAWSKO-POMORSKIE;PIECHCIN;unsolved_amb;ambiguous_po_usunieciu_rodzaju_gminy_dla_klucza_('04', '19', '01', 'PIECHCIN');04;19;01;3;;[4043, 5907]
224;('KUJAWSKO-POMORSKIE', 'GÓRNE GRUCZNO');;KpSwiecGruczno;;Frantschach - Gruczno;;1997-01-01;2003-02-27;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;53.364722;18.316667;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;unsolved_amb;brak_miejscowosc_id_dla_klucza_('04', '14', '09', '3', 'GÓRNE GRUCZNO');04;14;09;3;;
225;('KUJAWSKO-POMORSKIE', 'GÓRNE GRUCZNO');;KpSwiecGruczno2;PL0069A;02 - Gruczno;;2005-02-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;53.355556;18.318333;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;unsolved_amb;brak_miejscowosc_id_dla_klucza_('04', '14', '09', '3', 'GÓRNE GRUCZNO');04;14;09;3;;
228;('KUJAWSKO-POMORSKIE', 'ŚWIECIE PRZECHOWO');;KpSwiecPrzechowo;PL0070A;01 Przechowo;;2005-02-01;2014-01-01;przemysłowa;podmiejski;kontenerowa stacjonarna;;;53.398056;18.416389;KUJAWSKO-POMORSKIE;ŚWIECIE PRZECHOWO;unsolved_amb;brak_miejscowosc_id_dla_klucza_('04', '14', '09', '3', 'ŚWIECIE PRZECHOWO');04;14;09;3;;
324;('ŁÓDZKIE', 'BRZEZINY');;LdBrzeziWSSEMReforma;;Brzeziny-Reformacka;;1990-10-16;2010-01-01;tło;miejski;w budynku;ul. Reformacka 3;;-999.0;-999.0;ŁÓDZKIE;BRZEZINY;unsolved_geo;brak_poprawnych_wspolrzednych;;;;;Brzeziny (0977025) | gmina: Brzeziny | typ: gmina miejska | powiat: brzeziński | woj: ŁÓDZKIE | Brzeziny (0580138) | gmina: Żychlin | typ: obszar wiejski | powiat: kutnowski | woj: ŁÓDZKIE | Brzeziny (0536404) | gmina: Białaczów | typ: obszar wiejski | powiat: opoczyński | woj: ŁÓDZKIE | Brzeziny (0298531) | gmina: Uniejów | typ: obszar wiejski | powiat: poddębicki | woj: ŁÓDZKIE | Brzeziny (0148205) | gmina: Żytno | typ: gmina wiejska | powiat: radomszczański | woj: ŁÓDZKIE | Brzeziny (0976072) | gmina: Sieradz | typ: gmina miejska | powiat: sieradzki | woj: ŁÓDZKIE | Brzeziny (0551390) | gmina: Rzeczyca | typ: gmina wiejska | powiat: tomaszowski | woj: ŁÓDZKIE | Brzeziny (0707484) | gmina: Mokrsko | typ: gmina wiejska | powiat: wieluński | woj: ŁÓDZKIE | Brzeziny (0714053) | gmina: Skomlin | typ: gmina wiejska | powiat: wieluński | woj: ŁÓDZKIE | Brzeziny (0197698) | gmina: Galewice | typ: gmina wiejska | powiat: wieruszowski | woj: ŁÓDZKIE | Brzeziny (0197681) | gmina: Galewice | typ: gmina wiejska | powiat: wieruszowski | woj: ŁÓDZKIE;
466;('MAŁOPOLSKIE', 'KRYNICA');;MpKrynicWSSENowo1002;;Krynica Nowotarskiego RWM;;2005-01-01;2008-12-31;tło;miejski;w budynku;ul. Nowotarskiego RWM;;-999.0;-999.0;MAŁOPOLSKIE;KRYNICA;unsolved_geo;brak_poprawnych_wspolrzednych;;;;;Krynica-Wieś (0960444) | gmina: Krynica-Zdrój | typ: miasto | powiat: nowosądecki | woj: MAŁOPOLSKIE | Krynica-Zdrój (0960390) | gmina: Krynica-Zdrój | typ: miasto | powiat: nowosądecki | woj: MAŁOPOLSKIE;
479;('MAŁOPOLSKIE', 'MYŚLENICE');;MpMyslenWIOSKazi0901;;Myslenice Kazimierza Wielkiego;;2002-01-01;2002-12-31;tło;miejski;BRAK DANYCH;ul. Kazimierza Wielkiego 199;;-999.0;-999.0;MAŁOPOLSKIE;MYŚLENICE;unsolved_geo;brak_poprawnych_wspolrzednych;;;;;Myślenice (0831959) | gmina: Szczurowa | typ: gmina wiejska | powiat: brzeski | woj: MAŁOPOLSKIE | Myślenice (0951617) | gmina: Myślenice | typ: miasto | powiat: myślenicki | woj: MAŁOPOLSKIE;
500;('MAŁOPOLSKIE', 'PIWNICZNA');;MpPiwnicWSSERyne1004;;Piwniczna Rynek 2;;2004-03-08;2005-12-31;tło;miejski;w budynku;ul. Rynek 2;;49.4375;20.708611;MAŁOPOLSKIE;PIWNICZNA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('12', '10', '13', '3', 'PIWNICZNA');12;10;13;3;;
501;('MAŁOPOLSKIE', 'PIWNICZNA');;MpPiwnZdrojoMOB;PL0645A;Piwniczna-Zdrój, ul. Zdrojowa;;2016-01-01;2016-12-31;tło;miejski;mobilna;ul. Zdrojowa;;49.444056;20.719889;MAŁOPOLSKIE;PIWNICZNA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('12', '10', '13', '3', 'PIWNICZNA');12;10;13;3;;
537;('MAŁOPOLSKIE', 'UŚCIE GORLICKIE WYSOWA');;MpWysowaParkMOB;PL0840A;Wysowa-Zdrój, Park Zdrojowy;;2023-12-19;;tło;podmiejski;mobilna;Wysowa;;49.440175;21.178087;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;unsolved_amb;brak_miejscowosc_id_dla_klucza_('12', '05', '10', '2', 'UŚCIE GORLICKIE WYSOWA');12;05;10;2;Banica (0467896) | Beniówka (0468000) | Beskid (1049215) | Blechnarka (0467904) | Brunary (0467910) | Brunary Niżne (0467927) | Brunary Wyżne (0467933) | Czarna (0467962) | Dujawa (1049221) | Gładyszów (0467991) | Hańczowa (0468051) | Huta Wysowska (0468387) | Izby (0468080) | Jaszkowa (0467956) | Kijów (0468329) | Koło Kościoła (0468016) | Konieczna (0468128) | Kowalów (0468335) | Kunkowa (0468134) | Kwiatoń (0468157) | Leszczyny (0468140) | Ług (0468401) | Markowiec (0468068) | Na Rzekach (0468281) | Niżny Koniec (0467979) | Niżny Koniec (0468022) | Niżny Koniec (0468246) | Nowica (0468163) | Oderne (0468364) | Przysłop (0468170) | Regietów (0468186) | Regietów Niżny (0468192) | Regietów Wyżny (0468200) | Ropki (0468217) | Sidława (1049238) | Skwirtne (0468223) | Smerekowiec (0468230) | Stawiska (0468298) | Stawisza (0468269) | Śnietnica (0468275) | Terpentyny (0468358) | Uście Gorlickie (0468312) | Wierchnia (0468039) | Wierszki (0467940) | Wysowa-Zdrój (0468370) | Wyżny Koniec (0467985) | Wyżny Koniec (0468045) | Wyżny Koniec (0468252) | Za Rzeką (0468074) | Za Wodą (0468306) | Zdynia (0468393);
