kod_stacji;wgs84_fi_n;wgs84_lambda_e;http_status_code;status;response_text;woj;powiat;gmina;rodzaj_gminy;error
DsBialka;51.197783;16.11739;200;OK;"0
020903_2|";02;09;03;2;
DsBielGrot;50.68251;16.617348;200;OK;"0
020201_1|";02;02;01;1;
DsCzar07;50.255072;16.801641;200;OK;"0
020806_3|";02;08;06;3;
DsCzerStraza;50.912475;15.31219;200;OK;"0
021002_1|";02;10;02;1;
DsJawDmow;51.057121;16.179854;200;OK;"0
020501_1|";02;05;01;1;
DsJaworMOB;51.049212;16.202317;200;OK;"0
020501_1|";02;05;01;1;
DsKalinowka;51.5226;16.244147;200;OK;"0
021103_2|";02;11;03;2;
DsKamGoraMOB;50.788079;16.035122;200;OK;"0
020701_1|";02;07;01;1;
DsKgMob;50.786873;16.029129;200;OK;"0
020701_1|";02;07;01;1;
DsKgSien;50.781207;16.029155;200;OK;"0
020701_1|";02;07;01;1;
DsLesnaRyn;51.023029;15.263245;200;OK;"0
021003_3|";02;10;03;3;
DsNRudaSlupPM;50.550008;16.553645;200;OK;"0
020804_1|";02;08;04;1;
DsRadomierz;51.0583;14.973735;200;OK;"0
022507_2|";02;25;07;2;
DsSlone;51.661053;16.022652;200;OK;"0
020306_2|";02;03;06;2;
DsSnie04;50.778373;15.557425;200;OK;"0
020603_1|";02;06;03;1;
DsSpal06;50.27657;16.538299;200;OK;"0
020806_3|";02;08;06;3;
DsTarnowek;51.513299;16.166761;200;OK;"0
021604_3|";02;16;04;3;
DsWitk09;50.81652;16.122029;200;OK;"0
022104_2|";02;21;04;2;
DsWitka;51.041136;14.980327;200;OK;"0
022507_2|";02;25;07;2;
DsZameczno;51.669507;15.932111;200;OK;"0
020306_2|";02;03;06;2;
KpBydgBlota;53.100278;17.920278;200;OK;"0
040301_2|";04;03;01;2;
KpKruszynLotnisko;52.586114;19.01;200;OK;"0
041813_2|";04;18;13;2;
KpNwiesNaftobazy;52.970278;18.091389;200;OK;"0
040305_2|";04;03;05;2;
KpPiech;52.816389;18.032778;200;OK;"0
041901_3|";04;19;01;3;
KpPrzysRCRRiOW;53.029444;18.504444;200;OK;"0
041509_2|";04;15;09;2;
KpSwiecGruczno;53.364722;18.316667;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecGruczno2;53.355556;18.318333;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecJPawlMOB;53.40758;18.428751;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecKolejowa;53.398056;18.416389;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecPrzechowo;53.398056;18.416389;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecSadowa;53.407222;18.453889;200;OK;"0
041409_3|";04;14;09;3;
KpWiktorowoG;52.822942;17.859031;200;OK;"0
041902_3|";04;19;02;3;
KpZielBoryTu;53.662117;17.934017;200;OK;"0
041606_3|";04;16;06;3;
LbKrasKoszar;50.928239;22.228308;200;OK;"0
060701_1|";06;07;01;1;
LbKrasnikSpoldziel;50.927486;22.228567;200;OK;"0
060701_1|";06;07;01;1;
LdBrzeReform;51.797806;19.756094;200;OK;"0
102101_1|";10;21;01;1;
LdGajewUjWod;52.143258;19.233217;200;OK;"0
100408_2|";10;04;08;2;
LdLowiczSien;52.105847;19.939433;200;OK;"0
100501_1|";10;05;01;1;
LdLowiczWSSEMSwFlori;52.108056;19.936944;200;OK;"0
100501_1|";10;05;01;1;
LdSieradWIOSMKoscius;51.594444;18.736111;200;OK;"0
101401_1|";10;14;01;1;
LdSieradWSSEMArmiiKr;51.583889;18.710556;200;OK;"0
101401_1|";10;14;01;1;
LdSieradWSSEMPOW52;51.595833;18.720278;200;OK;"0
101401_1|";10;14;01;1;
LdSieraPolna;51.592058;18.734811;200;OK;"0
101401_1|";10;14;01;1;
LdSierGrunwa;51.590125;18.717333;200;OK;"0
101401_1|";10;14;01;1;
MpBochKonfed;49.969017;20.439511;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSEKazi0104;49.959167;20.420556;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSEKons0105;49.972778;20.428056;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSESoln0102;49.97;20.432222;200;OK;"0
120101_1|";12;01;01;1;
MpDobczSzkolMOB;49.881108;20.100819;200;OK;"0
120901_3|";12;09;01;3;
MpKrakAlKras;50.057678;19.926189;200;OK;"0
126101_1|";12;61;01;1;
MpKrakBujaka;50.010575;19.949189;200;OK;"0
126101_1|";12;61;01;1;
MpKrakBulwar;50.069308;20.053492;200;OK;"0
126101_1|";12;61;01;1;
MpKrakDietla;50.057447;19.946008;200;OK;"0
126101_1|";12;61;01;1;
MpKrakKamien;50.024605;19.97846;200;OK;"0
126101_1|";12;61;01;1;
MpKrakOsPias;50.098508;20.018269;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWIOSPrad6115;50.0875;19.926111;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSEKapi6108;49.991667;19.935;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSEPrad6102;50.0875;19.938056;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSERPod6113;50.04;19.943333;200;OK;"0
126101_1|";12;61;01;1;
MpKrakSwoszo;49.991442;19.936792;200;OK;"0
126101_1|";12;61;01;1;
MpKrakTelime;50.019036;20.016822;200;OK;"0
126101_1|";12;61;01;1;
MpKrakWadow;50.100569;20.122561;200;OK;"0
126101_1|";12;61;01;1;
MpKrakZloRog;50.081197;19.895358;200;OK;"0
126101_1|";12;61;01;1;
MpMiechoWIOSKono0802;50.360036;20.038672;200;OK;"0
120805_3|";12;08;05;3;
MpMiechoWIOSKsSk0801;50.354722;20.024722;200;OK;"0
120805_3|";12;08;05;3;
MpMyslenSoli;49.831237;19.923591;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSKosc0902;49.826667;19.936389;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSRyne0905;49.835;19.938056;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSRyne0906;49.835;19.938056;200;OK;"0
120903_3|";12;09;03;3;
MpMysleRynekMOB;49.834922;19.938114;200;OK;"0
120903_3|";12;09;03;3;
MpPiwnicWSSERyne1004;49.4375;20.708611;200;OK;"0
121013_3|";12;10;13;3;
MpPiwnZdrojoMOB;49.444056;20.719889;200;OK;"0
121013_3|";12;10;13;3;
MpTarBitStud;50.020169;21.004167;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWIOSSoli6303;50.016111;20.983611;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWSSEMosc6301;50.006667;20.975278;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWSSEWest6302;50.023333;21.005;200;OK;"0
126301_1|";12;63;01;1;
MpTarRoSitko;50.018253;20.992578;200;OK;"0
126301_1|";12;63;01;1;
MpWielDembowMOB;49.98825;20.059;200;OK;"0
121905_3|";12;19;05;3;
MpWielicWIOSOSP1902;49.975833;20.057778;200;OK;"0
121905_3|";12;19;05;3;
MpWysowaParkMOB;49.440175;21.178087;200;OK;"0
120510_2|";12;05;10;2;
MpWysowaWSSE0502;49.424722;21.176389;200;OK;"0
120510_2|";12;05;10;2;
MpZakopaSien;49.293564;19.960083;200;OK;"0
121701_1|";12;17;01;1;
MzBialaKmiciMOB;52.602534;19.6451;200;OK;"0
141913_2|";14;19;13;2;
MzGranicaKPN;52.285858;20.454653;200;OK;"0
143203_2|";14;32;03;2;
MzOstroHalle;53.083736;21.579322;200;OK;"0
146101_1|";14;61;01;1;
MzOstrolKoscWSSE;53.085319;21.568983;200;OK;"0
146101_1|";14;61;01;1;
MzOstrolTargowa;53.084023;21.589205;200;OK;"0
146101_1|";14;61;01;1;
MzPiaseczDworWSSE;52.051445;21.005582;200;OK;"0
141804_3|";14;18;04;3;
MzPiasPulask;52.191728;20.837489;200;OK;"0
142101_1|";14;21;01;1;
MzPiastWarszWSSE;52.186581;20.843524;200;OK;"0
142101_1|";14;21;01;1;
MzPlockPKN1;52.5888;19.724289;200;OK;"0
141913_2|";14;19;13;2;
MzPruszKraszeWSSE;52.162262;20.812831;200;OK;"0
142102_1|";14;21;02;1;
MzPruszMajWSSE;52.17154;20.810253;200;OK;"0
142102_1|";14;21;02;1;
MzTluszczJKiel;52.425833;21.429167;200;OK;"0
143411_3|";14;34;11;3;
MzWyszDaszynWSSE;52.593993;21.458079;200;OK;"0
143505_3|";14;35;05;3;
MzZwolenWSSE;51.35581;21.578566;200;OK;"0
143605_3|";14;36;05;3;
OpGora12728;50.451667;18.163333;200;OK;"0
161104_3|";16;11;04;3;
PdBorsukowiz;53.215492;23.642153;200;OK;"0
201110_2|";20;11;10;2;
PkCzarnaWSSENafGaz;49.308889;22.663903;200;OK;"0
180103_2|";18;01;03;2;
PkGorzycWSSEKEN;50.657792;21.84528;200;OK;"0
182002_2|";18;20;02;2;
PkJarosPruch;50.012083;22.674772;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWIOSJanPawII;50.015833;22.672778;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWSSE3Maja;50.013333;22.693056;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWSSEGrunw;50.016389;22.680278;200;OK;"0
180401_1|";18;04;01;1;
PkKrosKletow;49.690169;21.7497;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEKisiel;49.683889;21.755278;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEKisielewskiego;49.683611;21.755556;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSELewak;49.693889;21.755278;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEStasz;49.691667;21.767222;200;OK;"0
186101_1|";18;61;01;1;
PkLatosZdrojMOB;50.019053;21.369344;200;OK;"0
180304_2|";18;03;04;2;
PkPrzemGrunw;49.784339;22.756239;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWIOSDolin;49.786667;22.758056;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWIOSPDom;49.782778;22.766667;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWSSEGlaz;49.786667;22.759167;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWSSEMariac;49.778333;22.788611;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemyslWIOSMick;49.782433;22.782908;200;OK;"0
186201_1|";18;62;01;1;
Pm.09.s067m;54.031667;19.034167;200;OK;"0
220901_1|";22;09;01;1;
PmGac;54.693806;17.458067;200;OK;"0
221204_2|";22;12;04;2;
PmMalMickiew;54.031247;19.032899;200;OK;"0
220901_1|";22;09;01;1;
SkJedrMieszkMOB;50.643673;20.284885;200;OK;"0
260202_3|";26;02;02;3;
SKNowinyCemen;50.803894;20.543278;200;OK;"0
260417_2|";26;04;17;2;
SkNowiParkow;50.823108;20.533506;200;OK;"0
260417_2|";26;04;17;2;
SkSolecZdroj;50.358659;20.886184;200;OK;"0
260105_2|";26;01;05;2;
SkTrzciOsiek;50.486298;21.394103;200;OK;"0
261204_3|";26;12;04;3;
SkWloszKilinMOB;50.850321;19.97199;200;OK;"0
261306_3|";26;13;06;3;
WmBiskupMickMOB;53.860702;20.957892;200;OK;"0
281402_3|";28;14;02;3;
WmElk_WSSE_Toru;53.831389;22.350278;200;OK;"0
280501_1|";28;05;01;1;
WmElkStadion;53.828389;22.348338;200;OK;"0
280501_1|";28;05;01;1;
WmElkWIOS_PM10;53.831389;22.350278;200;OK;"0
280501_1|";28;05;01;1;
WmGlitajn;54.184728;21.152914;200;OK;"0
280804_3|";28;08;04;3;
WpBoroDrapal;52.27672;17.074187;200;OK;"0
302109_3|";30;21;09;3;
WpKoniWyszyn;52.22565;18.268927;200;OK;"0
306201_1|";30;62;01;1;
WpKozieosLes;52.449295;16.999634;200;OK;"0
302104_2|";30;21;04;2;
WpPiaskiKrzy;52.501318;17.773175;200;OK;"0
300310_3|";30;03;10;3;
WpPilaKusoci;53.154408;16.759572;200;OK;"0
301901_1|";30;19;01;1;
WpWKP009;52.353806;18.345576;200;OK;"0
301012_3|";30;10;12;3;
WpWKP010;52.153849;18.362573;200;OK;"0
301006_2|";30;10;06;2;
ZpStarStargardWSSE;53.337415;15.039209;200;OK;"0
321401_1|";32;14;01;1;
ZpSzcStorkowoDO;53.779722;16.497222;200;OK;"0
321505_2|";32;15;05;2;
DsBialka;51.197783;16.11739;200;OK;"0
020903_2|";02;09;03;2;
DsBielGrot;50.68251;16.617348;200;OK;"0
020201_1|";02;02;01;1;
DsCzar07;50.255072;16.801641;200;OK;"0
020806_3|";02;08;06;3;
DsCzerStraza;50.912475;15.31219;200;OK;"0
021002_1|";02;10;02;1;
DsJawDmow;51.057121;16.179854;200;OK;"0
020501_1|";02;05;01;1;
DsJaworMOB;51.049212;16.202317;200;OK;"0
020501_1|";02;05;01;1;
DsKalinowka;51.5226;16.244147;200;OK;"0
021103_2|";02;11;03;2;
DsKamGoraMOB;50.788079;16.035122;200;OK;"0
020701_1|";02;07;01;1;
DsKgMob;50.786873;16.029129;200;OK;"0
020701_1|";02;07;01;1;
DsKgSien;50.781207;16.029155;200;OK;"0
020701_1|";02;07;01;1;
DsLesnaRyn;51.023029;15.263245;200;OK;"0
021003_3|";02;10;03;3;
DsNRudaSlupPM;50.550008;16.553645;200;OK;"0
020804_1|";02;08;04;1;
DsRadomierz;51.0583;14.973735;200;OK;"0
022507_2|";02;25;07;2;
DsSlone;51.661053;16.022652;200;OK;"0
020306_2|";02;03;06;2;
DsSnie04;50.778373;15.557425;200;OK;"0
020603_1|";02;06;03;1;
DsSpal06;50.27657;16.538299;200;OK;"0
020806_3|";02;08;06;3;
DsTarnowek;51.513299;16.166761;200;OK;"0
021604_3|";02;16;04;3;
DsWitk09;50.81652;16.122029;200;OK;"0
022104_2|";02;21;04;2;
DsWitka;51.041136;14.980327;200;OK;"0
022507_2|";02;25;07;2;
DsZameczno;51.669507;15.932111;200;OK;"0
020306_2|";02;03;06;2;
KpBydgBlota;53.100278;17.920278;200;OK;"0
040301_2|";04;03;01;2;
KpKruszynLotnisko;52.586114;19.01;200;OK;"0
041813_2|";04;18;13;2;
KpNwiesNaftobazy;52.970278;18.091389;200;OK;"0
040305_2|";04;03;05;2;
KpPiech;52.816389;18.032778;200;OK;"0
041901_3|";04;19;01;3;
KpPrzysRCRRiOW;53.029444;18.504444;200;OK;"0
041509_2|";04;15;09;2;
KpSwiecGruczno;53.364722;18.316667;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecGruczno2;53.355556;18.318333;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecJPawlMOB;53.40758;18.428751;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecKolejowa;53.398056;18.416389;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecPrzechowo;53.398056;18.416389;200;OK;"0
041409_3|";04;14;09;3;
KpSwiecSadowa;53.407222;18.453889;200;OK;"0
041409_3|";04;14;09;3;
KpWiktorowoG;52.822942;17.859031;200;OK;"0
041902_3|";04;19;02;3;
KpZielBoryTu;53.662117;17.934017;200;OK;"0
041606_3|";04;16;06;3;
LbKrasKoszar;50.928239;22.228308;200;OK;"0
060701_1|";06;07;01;1;
LbKrasnikSpoldziel;50.927486;22.228567;200;OK;"0
060701_1|";06;07;01;1;
LdBrzeReform;51.797806;19.756094;200;OK;"0
102101_1|";10;21;01;1;
LdGajewUjWod;52.143258;19.233217;200;OK;"0
100408_2|";10;04;08;2;
LdLowiczSien;52.105847;19.939433;200;OK;"0
100501_1|";10;05;01;1;
LdLowiczWSSEMSwFlori;52.108056;19.936944;200;OK;"0
100501_1|";10;05;01;1;
LdSieradWIOSMKoscius;51.594444;18.736111;200;OK;"0
101401_1|";10;14;01;1;
LdSieradWSSEMArmiiKr;51.583889;18.710556;200;OK;"0
101401_1|";10;14;01;1;
LdSieradWSSEMPOW52;51.595833;18.720278;200;OK;"0
101401_1|";10;14;01;1;
LdSieraPolna;51.592058;18.734811;200;OK;"0
101401_1|";10;14;01;1;
LdSierGrunwa;51.590125;18.717333;200;OK;"0
101401_1|";10;14;01;1;
MpBochKonfed;49.969017;20.439511;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSEKazi0104;49.959167;20.420556;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSEKons0105;49.972778;20.428056;200;OK;"0
120101_1|";12;01;01;1;
MpBochniWSSESoln0102;49.97;20.432222;200;OK;"0
120101_1|";12;01;01;1;
MpDobczSzkolMOB;49.881108;20.100819;200;OK;"0
120901_3|";12;09;01;3;
MpKrakAlKras;50.057678;19.926189;200;OK;"0
126101_1|";12;61;01;1;
MpKrakBujaka;50.010575;19.949189;200;OK;"0
126101_1|";12;61;01;1;
MpKrakBulwar;50.069308;20.053492;200;OK;"0
126101_1|";12;61;01;1;
MpKrakDietla;50.057447;19.946008;200;OK;"0
126101_1|";12;61;01;1;
MpKrakKamien;50.024605;19.97846;200;OK;"0
126101_1|";12;61;01;1;
MpKrakOsPias;50.098508;20.018269;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWIOSPrad6115;50.0875;19.926111;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSEKapi6108;49.991667;19.935;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSEPrad6102;50.0875;19.938056;200;OK;"0
126101_1|";12;61;01;1;
MpKrakowWSSERPod6113;50.04;19.943333;200;OK;"0
126101_1|";12;61;01;1;
MpKrakSwoszo;49.991442;19.936792;200;OK;"0
126101_1|";12;61;01;1;
MpKrakTelime;50.019036;20.016822;200;OK;"0
126101_1|";12;61;01;1;
MpKrakWadow;50.100569;20.122561;200;OK;"0
126101_1|";12;61;01;1;
MpKrakZloRog;50.081197;19.895358;200;OK;"0
126101_1|";12;61;01;1;
MpMiechoWIOSKono0802;50.360036;20.038672;200;OK;"0
120805_3|";12;08;05;3;
MpMiechoWIOSKsSk0801;50.354722;20.024722;200;OK;"0
120805_3|";12;08;05;3;
MpMyslenSoli;49.831237;19.923591;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSKosc0902;49.826667;19.936389;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSRyne0905;49.835;19.938056;200;OK;"0
120903_3|";12;09;03;3;
MpMyslenWIOSRyne0906;49.835;19.938056;200;OK;"0
120903_3|";12;09;03;3;
MpMysleRynekMOB;49.834922;19.938114;200;OK;"0
120903_3|";12;09;03;3;
MpPiwnicWSSERyne1004;49.4375;20.708611;200;OK;"0
121013_3|";12;10;13;3;
MpPiwnZdrojoMOB;49.444056;20.719889;200;OK;"0
121013_3|";12;10;13;3;
MpTarBitStud;50.020169;21.004167;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWIOSSoli6303;50.016111;20.983611;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWSSEMosc6301;50.006667;20.975278;200;OK;"0
126301_1|";12;63;01;1;
MpTarnowWSSEWest6302;50.023333;21.005;200;OK;"0
126301_1|";12;63;01;1;
MpTarRoSitko;50.018253;20.992578;200;OK;"0
126301_1|";12;63;01;1;
MpWielDembowMOB;49.98825;20.059;200;OK;"0
121905_3|";12;19;05;3;
MpWielicWIOSOSP1902;49.975833;20.057778;200;OK;"0
121905_3|";12;19;05;3;
MpWysowaParkMOB;49.440175;21.178087;200;OK;"0
120510_2|";12;05;10;2;
MpWysowaWSSE0502;49.424722;21.176389;200;OK;"0
120510_2|";12;05;10;2;
MpZakopaSien;49.293564;19.960083;200;OK;"0
121701_1|";12;17;01;1;
MzBialaKmiciMOB;52.602534;19.6451;200;OK;"0
141913_2|";14;19;13;2;
MzGranicaKPN;52.285858;20.454653;200;OK;"0
143203_2|";14;32;03;2;
MzOstroHalle;53.083736;21.579322;200;OK;"0
146101_1|";14;61;01;1;
MzOstrolKoscWSSE;53.085319;21.568983;200;OK;"0
146101_1|";14;61;01;1;
MzOstrolTargowa;53.084023;21.589205;200;OK;"0
146101_1|";14;61;01;1;
MzPiaseczDworWSSE;52.051445;21.005582;200;OK;"0
141804_3|";14;18;04;3;
MzPiasPulask;52.191728;20.837489;200;OK;"0
142101_1|";14;21;01;1;
MzPiastWarszWSSE;52.186581;20.843524;200;OK;"0
142101_1|";14;21;01;1;
MzPlockPKN1;52.5888;19.724289;200;OK;"0
141913_2|";14;19;13;2;
MzPruszKraszeWSSE;52.162262;20.812831;200;OK;"0
142102_1|";14;21;02;1;
MzPruszMajWSSE;52.17154;20.810253;200;OK;"0
142102_1|";14;21;02;1;
MzTluszczJKiel;52.425833;21.429167;200;OK;"0
143411_3|";14;34;11;3;
MzWyszDaszynWSSE;52.593993;21.458079;200;OK;"0
143505_3|";14;35;05;3;
MzZwolenWSSE;51.35581;21.578566;200;OK;"0
143605_3|";14;36;05;3;
OpGora12728;50.451667;18.163333;200;OK;"0
161104_3|";16;11;04;3;
PdBorsukowiz;53.215492;23.642153;200;OK;"0
201110_2|";20;11;10;2;
PkCzarnaWSSENafGaz;49.308889;22.663903;200;OK;"0
180103_2|";18;01;03;2;
PkGorzycWSSEKEN;50.657792;21.84528;200;OK;"0
182002_2|";18;20;02;2;
PkJarosPruch;50.012083;22.674772;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWIOSJanPawII;50.015833;22.672778;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWSSE3Maja;50.013333;22.693056;200;OK;"0
180401_1|";18;04;01;1;
PkJarosWSSEGrunw;50.016389;22.680278;200;OK;"0
180401_1|";18;04;01;1;
PkKrosKletow;49.690169;21.7497;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEKisiel;49.683889;21.755278;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEKisielewskiego;49.683611;21.755556;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSELewak;49.693889;21.755278;200;OK;"0
186101_1|";18;61;01;1;
PkKrosnoWSSEStasz;49.691667;21.767222;200;OK;"0
186101_1|";18;61;01;1;
PkLatosZdrojMOB;50.019053;21.369344;200;OK;"0
180304_2|";18;03;04;2;
PkPrzemGrunw;49.784339;22.756239;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWIOSDolin;49.786667;22.758056;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWIOSPDom;49.782778;22.766667;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWSSEGlaz;49.786667;22.759167;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemWSSEMariac;49.778333;22.788611;200;OK;"0
186201_1|";18;62;01;1;
PkPrzemyslWIOSMick;49.782433;22.782908;200;OK;"0
186201_1|";18;62;01;1;
Pm.09.s067m;54.031667;19.034167;200;OK;"0
220901_1|";22;09;01;1;
PmGac;54.693806;17.458067;200;OK;"0
221204_2|";22;12;04;2;
PmMalMickiew;54.031247;19.032899;200;OK;"0
220901_1|";22;09;01;1;
SkJedrMieszkMOB;50.643673;20.284885;200;OK;"0
260202_3|";26;02;02;3;
SKNowinyCemen;50.803894;20.543278;200;OK;"0
260417_2|";26;04;17;2;
SkNowiParkow;50.823108;20.533506;200;OK;"0
260417_2|";26;04;17;2;
SkSolecZdroj;50.358659;20.886184;200;OK;"0
260105_2|";26;01;05;2;
SkTrzciOsiek;50.486298;21.394103;200;OK;"0
261204_3|";26;12;04;3;
SkWloszKilinMOB;50.850321;19.97199;200;OK;"0
261306_3|";26;13;06;3;
WmBiskupMickMOB;53.860702;20.957892;200;OK;"0
281402_3|";28;14;02;3;
WmElk_WSSE_Toru;53.831389;22.350278;200;OK;"0
280501_1|";28;05;01;1;
WmElkStadion;53.828389;22.348338;200;OK;"0
280501_1|";28;05;01;1;
WmElkWIOS_PM10;53.831389;22.350278;200;OK;"0
280501_1|";28;05;01;1;
WmGlitajn;54.184728;21.152914;200;OK;"0
280804_3|";28;08;04;3;
WpBoroDrapal;52.27672;17.074187;200;OK;"0
302109_3|";30;21;09;3;
WpKoniWyszyn;52.22565;18.268927;200;OK;"0
306201_1|";30;62;01;1;
WpKozieosLes;52.449295;16.999634;200;OK;"0
302104_2|";30;21;04;2;
WpPiaskiKrzy;52.501318;17.773175;200;OK;"0
300310_3|";30;03;10;3;
WpPilaKusoci;53.154408;16.759572;200;OK;"0
301901_1|";30;19;01;1;
WpWKP009;52.353806;18.345576;200;OK;"0
301012_3|";30;10;12;3;
WpWKP010;52.153849;18.362573;200;OK;"0
301006_2|";30;10;06;2;
ZpStarStargardWSSE;53.337415;15.039209;200;OK;"0
321401_1|";32;14;01;1;
ZpSzcStorkowoDO;53.779722;16.497222;200;OK;"0
321505_2|";32;15;05;2;
